FOOD COMMODITY TYPOLOGY;FOOD COMMODITY sub-TYPOLOGY;n;mean;median;st. dev.;min;max;MAD;Q1;Q3;CV;IQR;LOWER FENCE;UPPER FENCE;ANOVA on Ranks All Pairwise MCP;t-Test subtypology vs Typology Mann-Whitney Rank Sum Test
FRUIT OPENFIELD;CITRUS FRUIT (SUB-TYP);6;0,34;0,34;0,10;0,22;0,51;0,09;0,24;0,40;0,31;0,15;0,02;0,62;A;not significant
FRUIT OPENFIELD;FRUIT (Excluded citrus, wild berries and olives) (SUB-TYP);13;0,43;0,32;0,23;0,26;1,10;0,06;0,27;0,49;0,53;0,21;-0,04;0,81;A;not significant
FRUIT OPENFIELD;OLIVES* (SUB-TYP);9;0,59;0,64;0,20;0,22;0,85;0,05;0,61;0,68;0,34;0,56;-0,23;1,52;-;-
FRUIT OPENFIELD;WILD BERRIES (SUB-TYP);7;0,68;0,64;0,14;0,42;0,87;0,14;0,62;0,81;0,21;0,48;-0,11;1,53;B;significant
VEGETABLES OPENFIELD;ASPARAGUS* (SUB-TYP);33;0,97;0,83;0,48;0,38;2,68;0,22;0,63;1,14;0,50;0,41;0,01;1,76;A;significant
VEGETABLES OPENFIELD;GREEN LEAFY VEGETABLES (SUB TYP);3;0,33;0,34;0,07;0,23;0,41;0,07;0,29;0,37;0,22;0,21;-0,04;0,70;BC;not significant
VEGETABLES OPENFIELD;ROOTS & BULBS (SUB-TYP);7;0,31;0,25;0,17;0,15;0,71;0,05;0,23;0,32;0,54;0,18;-0,05;0,60;C;significant
VEGETABLES OPENFIELD;VEGETABLES (fruits, steems, flowers) (SUB-TYP);12;0,39;0,33;0,17;0,19;0,70;0,12;0,26;0,50;0,42;0,14;0,05;0,71;B;not significant
SHELLFISH;BIVALVES* (SUB-TYP) (Mussels);7;0,94;0,46;0,86;0,12;2,54;0,35;0,33;1,39;0,92;1,06;-1,26;2,98;A;significant
SHELLFISH;CEPHALOPOD (SUB-TYP);3;5,92;5,80;0,76;5,05;6,91;0,75;5,43;6,36;0,13;0,93;4,03;7,75;B;not significant
SHELLFISH;CRUSTACEAN* (SUB-TYP) (Prawns/Shrimps);18;11,95;7,04;10,42;2,89;38,00;3,25;5,24;16,78;0,87;11,53;-12,06;34,07;B;not significant
